"PM10","AQI","temp","Latitude","Longitude","windspeed","state","county","City.Name"
128,87,73.095652,36.78538,-119.77321,1.179167,"California","Fresno","Fresno"
123,85,73.666667,36.78538,-119.77321,1.654167,"California","Fresno","Fresno"
57,52,70.895833,36.78538,-119.77321,3.05,"California","Fresno","Fresno"
71,59,68.1375,36.78538,-119.77321,2.95,"California","Fresno","Fresno"
20,19,59.358333,36.78538,-119.77321,3.120833,"California","Fresno","Fresno"
25,23,59.925,36.78538,-119.77321,2.395833,"California","Fresno","Fresno"
41,38,62.829167,36.78538,-119.77321,1.616667,"California","Fresno","Fresno"
280,163,59.891304,36.78538,-119.77321,8.120833,"California","Fresno","Fresno"
41,38,56.895833,36.78538,-119.77321,2.754167,"California","Fresno","Fresno"
54,50,58.325,36.78538,-119.77321,1.729167,"California","Fresno","Fresno"
54,50,59.2125,36.78538,-119.77321,1.283333,"California","Fresno","Fresno"
63,55,63.958333,36.78538,-119.77321,1.341667,"California","Fresno","Fresno"
56,51,65.825,36.78538,-119.77321,1.004167,"California","Fresno","Fresno"
56,51,65.708333,36.78538,-119.77321,3.908333,"California","Fresno","Fresno"
21,19,56.591667,36.78538,-119.77321,3.745833,"California","Fresno","Fresno"
41,38,57.229167,36.78538,-119.77321,1.6375,"California","Fresno","Fresno"
51,47,57.755556,36.78538,-119.77321,1.954167,"California","Fresno","Fresno"
48,44,NA,36.78538,-119.77321,1.208333,"California","Fresno","Fresno"
28,26,63.7875,36.78538,-119.77321,3.704167,"California","Fresno","Fresno"
19,18,62.166667,36.78538,-119.77321,3.129167,"California","Fresno","Fresno"
75,61,64.566667,36.78538,-119.77321,4.691667,"California","Fresno","Fresno"
63,55,57.775,36.78538,-119.77321,3.3125,"California","Fresno","Fresno"
20,19,55.583333,36.78538,-119.77321,1.766667,"California","Fresno","Fresno"
32,30,58.75,36.78538,-119.77321,1.204167,"California","Fresno","Fresno"
36,33,64.325,36.78538,-119.77321,1.220833,"California","Fresno","Fresno"
58,52,65.3,36.78538,-119.77321,1.5125,"California","Fresno","Fresno"
41,38,64.833333,36.78538,-119.77321,1.683333,"California","Fresno","Fresno"
19,18,60.308333,36.78538,-119.77321,2.345833,"California","Fresno","Fresno"
34,31,63.216667,36.78538,-119.77321,2.241667,"California","Fresno","Fresno"
21,19,65.120833,36.78538,-119.77321,2.020833,"California","Fresno","Fresno"
22,20,63.420833,36.78538,-119.77321,1.404167,"California","Fresno","Fresno"
30,28,62.329167,36.78538,-119.77321,2.95,"California","Fresno","Fresno"
24,22,60.491667,36.78538,-119.77321,1.9375,"California","Fresno","Fresno"
18,17,59.091667,36.78538,-119.77321,3.104167,"California","Fresno","Fresno"
15,14,55.541667,36.78538,-119.77321,3.791667,"California","Fresno","Fresno"
29,27,54.791667,36.78538,-119.77321,1.75,"California","Fresno","Fresno"
19,18,58.270833,36.78538,-119.77321,2.558333,"California","Fresno","Fresno"
20,19,53.520833,36.78538,-119.77321,1.325,"California","Fresno","Fresno"
