"PM10","AQI","temp","Latitude","Longitude","windspeed","state","county","City.Name","type_of_day","type_of_day01"
27,25,81.6875,35.356615,-119.062613,2.433333,"California","Kern","Bakersfield","Healthy air quality",1
41,38,80.820833,35.356615,-119.062613,2.6375,"California","Kern","Bakersfield","Healthy air quality",1
49,45,77.841667,35.356615,-119.062613,2.6375,"California","Kern","Bakersfield","Healthy air quality",1
65,56,82.883333,35.356615,-119.062613,1.666667,"California","Kern","Bakersfield","Unhealthy air quality",0
83,65,88.954167,35.356615,-119.062613,1.733333,"California","Kern","Bakersfield","Unhealthy air quality",0
68,57,96.383333,35.356615,-119.062613,1.975,"California","Kern","Bakersfield","Unhealthy air quality",0
39,36,95.995833,35.356615,-119.062613,2.795833,"California","Kern","Bakersfield","Healthy air quality",1
25,23,94.0125,35.356615,-119.062613,3.095833,"California","Kern","Bakersfield","Healthy air quality",1
38,35,89.283333,35.356615,-119.062613,3.775,"California","Kern","Bakersfield","Healthy air quality",1
32,30,83.016667,35.356615,-119.062613,3.583333,"California","Kern","Bakersfield","Healthy air quality",1
37,34,81.183333,35.356615,-119.062613,4,"California","Kern","Bakersfield","Healthy air quality",1
35,32,79.629167,35.356615,-119.062613,3.4375,"California","Kern","Bakersfield","Healthy air quality",1
32,30,82.333333,35.356615,-119.062613,2.416667,"California","Kern","Bakersfield","Healthy air quality",1
43,40,87.2125,35.356615,-119.062613,2.029167,"California","Kern","Bakersfield","Healthy air quality",1
37,34,93.091667,35.356615,-119.062613,2.458333,"California","Kern","Bakersfield","Healthy air quality",1
50,46,91.2125,35.356615,-119.062613,3.595833,"California","Kern","Bakersfield","Healthy air quality",1
48,44,89.833333,35.356615,-119.062613,1.808333,"California","Kern","Bakersfield","Healthy air quality",1
49,45,91.279167,35.356615,-119.062613,4.325,"California","Kern","Bakersfield","Healthy air quality",1
38,35,89.308333,35.356615,-119.062613,3.370833,"California","Kern","Bakersfield","Healthy air quality",1
36,33,89.391667,35.356615,-119.062613,2.916667,"California","Kern","Bakersfield","Healthy air quality",1
29,27,88.929167,35.356615,-119.062613,3.275,"California","Kern","Bakersfield","Healthy air quality",1
25,23,88.045833,35.356615,-119.062613,2.858333,"California","Kern","Bakersfield","Healthy air quality",1
37,34,87.220833,35.356615,-119.062613,2.341667,"California","Kern","Bakersfield","Healthy air quality",1
41,38,86.829167,35.356615,-119.062613,3.120833,"California","Kern","Bakersfield","Healthy air quality",1
58,52,87.304167,35.356615,-119.062613,2.375,"California","Kern","Bakersfield","Unhealthy air quality",0
63,55,90.029167,35.356615,-119.062613,1.825,"California","Kern","Bakersfield","Unhealthy air quality",0
63,55,96.683333,35.356615,-119.062613,2.504167,"California","Kern","Bakersfield","Unhealthy air quality",0
39,36,97.85,35.356615,-119.062613,2.433333,"California","Kern","Bakersfield","Healthy air quality",1
34,31,99,35.356615,-119.062613,2.375,"California","Kern","Bakersfield","Healthy air quality",1
49,45,95.683333,35.356615,-119.062613,2.4875,"California","Kern","Bakersfield","Healthy air quality",1
58,52,92.508333,35.356615,-119.062613,3.108333,"California","Kern","Bakersfield","Unhealthy air quality",0
48,44,89.770833,35.356615,-119.062613,3.441667,"California","Kern","Bakersfield","Healthy air quality",1
36,33,87.3375,35.356615,-119.062613,3.216667,"California","Kern","Bakersfield","Healthy air quality",1
31,29,86.9375,35.356615,-119.062613,2.579167,"California","Kern","Bakersfield","Healthy air quality",1
36,33,88.279167,35.356615,-119.062613,2.495833,"California","Kern","Bakersfield","Healthy air quality",1
38,35,87.575,35.356615,-119.062613,2.4375,"California","Kern","Bakersfield","Healthy air quality",1
29,27,92.820833,35.356615,-119.062613,2.95,"California","Kern","Bakersfield","Healthy air quality",1
38,35,91.395833,35.356615,-119.062613,2.820833,"California","Kern","Bakersfield","Healthy air quality",1
45,42,88.545833,35.356615,-119.062613,2.320833,"California","Kern","Bakersfield","Healthy air quality",1
53,49,88.825,35.356615,-119.062613,2.529167,"California","Kern","Bakersfield","Healthy air quality",1
47,44,90.008333,35.356615,-119.062613,2.629167,"California","Kern","Bakersfield","Healthy air quality",1
32,30,89.716667,35.356615,-119.062613,2.629167,"California","Kern","Bakersfield","Healthy air quality",1
29,27,89.829167,35.356615,-119.062613,2.8375,"California","Kern","Bakersfield","Healthy air quality",1
34,31,83.145833,35.356615,-119.062613,1.745833,"California","Kern","Bakersfield","Healthy air quality",1
44,41,87.5625,35.356615,-119.062613,2.845833,"California","Kern","Bakersfield","Healthy air quality",1
40,37,89.083333,35.356615,-119.062613,2.408333,"California","Kern","Bakersfield","Healthy air quality",1
51,47,91.970833,35.356615,-119.062613,2.145833,"California","Kern","Bakersfield","Healthy air quality",1
56,51,94.120833,35.356615,-119.062613,2.9375,"California","Kern","Bakersfield","Unhealthy air quality",0
34,31,92.820833,35.356615,-119.062613,3.716667,"California","Kern","Bakersfield","Healthy air quality",1
