SiteLocDate,pm.scale,avgpm,AQI,wind.scale,avgtemp,County.Code,Latitude,Longitude,temp.scale,avgwind,state,county,City.Name
232.2021-06-19,Micrograms/cubic meter (25 C),42,39,Degrees Fahrenheit,96.475,29,35.438035,-119.016787,Knots,3.245833,California,Kern,Oildale
232.2021-06-20,Micrograms/cubic meter (25 C),25,23,Degrees Fahrenheit,94.658333,29,35.438035,-119.016787,Knots,4.004167,California,Kern,Oildale
232.2021-06-21,Micrograms/cubic meter (25 C),40,37,Degrees Fahrenheit,89.854167,29,35.438035,-119.016787,Knots,5.275,California,Kern,Oildale
232.2021-06-22,Micrograms/cubic meter (25 C),39,36,Degrees Fahrenheit,83.895833,29,35.438035,-119.016787,Knots,5.208333,California,Kern,Oildale
232.2021-06-23,Micrograms/cubic meter (25 C),44,41,Degrees Fahrenheit,81.4875,29,35.438035,-119.016787,Knots,4.4875,California,Kern,Oildale
232.2021-06-24,Micrograms/cubic meter (25 C),43,40,Degrees Fahrenheit,79.583333,29,35.438035,-119.016787,Knots,3.4,California,Kern,Oildale
232.2021-06-25,Micrograms/cubic meter (25 C),39,36,Degrees Fahrenheit,81.845833,29,35.438035,-119.016787,Knots,2.825,California,Kern,Oildale
232.2021-06-26,Micrograms/cubic meter (25 C),51,47,Degrees Fahrenheit,87.2,29,35.438035,-119.016787,Knots,2.091667,California,Kern,Oildale
232.2021-06-27,Micrograms/cubic meter (25 C),42,39,Degrees Fahrenheit,93.7,29,35.438035,-119.016787,Knots,2.920833,California,Kern,Oildale
232.2021-06-28,Micrograms/cubic meter (25 C),51,47,Degrees Fahrenheit,91.445833,29,35.438035,-119.016787,Knots,3.629167,California,Kern,Oildale
232.2021-06-29,Micrograms/cubic meter (25 C),58,52,Degrees Fahrenheit,89.854167,29,35.438035,-119.016787,Knots,1.916667,California,Kern,Oildale
232.2021-07-03,Micrograms/cubic meter (25 C),40,37,Degrees Fahrenheit,88.804167,29,35.438035,-119.016787,Knots,3.533333,California,Kern,Oildale
232.2021-07-04,Micrograms/cubic meter (25 C),29,27,Degrees Fahrenheit,87.7875,29,35.438035,-119.016787,Knots,3.404167,California,Kern,Oildale
232.2021-07-05,Micrograms/cubic meter (25 C),34,31,Degrees Fahrenheit,86.9,29,35.438035,-119.016787,Knots,2.6375,California,Kern,Oildale
232.2021-07-06,Micrograms/cubic meter (25 C),55,51,Degrees Fahrenheit,86.429167,29,35.438035,-119.016787,Knots,3.55,California,Kern,Oildale
232.2021-07-07,Micrograms/cubic meter (25 C),59,53,Degrees Fahrenheit,87.458333,29,35.438035,-119.016787,Knots,2.5125,California,Kern,Oildale
232.2021-07-08,Micrograms/cubic meter (25 C),64,55,Degrees Fahrenheit,90.583333,29,35.438035,-119.016787,Knots,2.125,California,Kern,Oildale
232.2021-07-09,Micrograms/cubic meter (25 C),54,50,Degrees Fahrenheit,97.058333,29,35.438035,-119.016787,Knots,3.233333,California,Kern,Oildale
232.2021-07-10,Micrograms/cubic meter (25 C),34,31,Degrees Fahrenheit,97.791667,29,35.438035,-119.016787,Knots,2.729167,California,Kern,Oildale
232.2021-07-11,Micrograms/cubic meter (25 C),32,30,Degrees Fahrenheit,98.4125,29,35.438035,-119.016787,Knots,2.720833,California,Kern,Oildale
232.2021-07-12,Micrograms/cubic meter (25 C),44,41,Degrees Fahrenheit,96.0625,29,35.438035,-119.016787,Knots,2.908333,California,Kern,Oildale
232.2021-07-13,Micrograms/cubic meter (25 C),63,55,Degrees Fahrenheit,92.354167,29,35.438035,-119.016787,Knots,3.4875,California,Kern,Oildale
232.2021-07-14,Micrograms/cubic meter (25 C),47,44,Degrees Fahrenheit,90.595833,29,35.438035,-119.016787,Knots,4.479167,California,Kern,Oildale
232.2021-07-15,Micrograms/cubic meter (25 C),41,38,Degrees Fahrenheit,87.108333,29,35.438035,-119.016787,Knots,3.416667,California,Kern,Oildale
232.2021-07-16,Micrograms/cubic meter (25 C),40,37,Degrees Fahrenheit,86.491667,29,35.438035,-119.016787,Knots,2.879167,California,Kern,Oildale
232.2021-07-17,Micrograms/cubic meter (25 C),40,37,Degrees Fahrenheit,87.979167,29,35.438035,-119.016787,Knots,2.854167,California,Kern,Oildale
232.2021-07-18,Micrograms/cubic meter (25 C),34,31,Degrees Fahrenheit,87.6625,29,35.438035,-119.016787,Knots,2.508333,California,Kern,Oildale
232.2021-07-19,Micrograms/cubic meter (25 C),35,32,Degrees Fahrenheit,92.558333,29,35.438035,-119.016787,Knots,3.208333,California,Kern,Oildale
232.2021-07-20,Micrograms/cubic meter (25 C),46,43,Degrees Fahrenheit,91.366667,29,35.438035,-119.016787,Knots,3.854167,California,Kern,Oildale
232.2021-07-21,Micrograms/cubic meter (25 C),51,47,Degrees Fahrenheit,88.120833,29,35.438035,-119.016787,Knots,2.745833,California,Kern,Oildale
232.2021-07-22,Micrograms/cubic meter (25 C),51,47,Degrees Fahrenheit,88.9,29,35.438035,-119.016787,Knots,2.858333,California,Kern,Oildale
232.2021-07-23,Micrograms/cubic meter (25 C),46,43,Degrees Fahrenheit,89.8125,29,35.438035,-119.016787,Knots,3.7,California,Kern,Oildale
232.2021-07-24,Micrograms/cubic meter (25 C),40,37,Degrees Fahrenheit,89.120833,29,35.438035,-119.016787,Knots,3.141667,California,Kern,Oildale
232.2021-07-25,Micrograms/cubic meter (25 C),34,31,Degrees Fahrenheit,89.154167,29,35.438035,-119.016787,Knots,3.1875,California,Kern,Oildale
232.2021-07-26,Micrograms/cubic meter (25 C),33,31,Degrees Fahrenheit,82.754167,29,35.438035,-119.016787,Knots,2.129167,California,Kern,Oildale
232.2021-07-27,Micrograms/cubic meter (25 C),45,42,Degrees Fahrenheit,88.016667,29,35.438035,-119.016787,Knots,3.433333,California,Kern,Oildale
232.2021-07-28,Micrograms/cubic meter (25 C),45,42,Degrees Fahrenheit,88.833333,29,35.438035,-119.016787,Knots,2.554167,California,Kern,Oildale
232.2021-07-29,Micrograms/cubic meter (25 C),48,44,Degrees Fahrenheit,91.870833,29,35.438035,-119.016787,Knots,2.8375,California,Kern,Oildale
232.2021-07-30,Micrograms/cubic meter (25 C),51,47,Degrees Fahrenheit,94.120833,29,35.438035,-119.016787,Knots,3.55,California,Kern,Oildale
232.2021-07-31,Micrograms/cubic meter (25 C),35,32,Degrees Fahrenheit,92.7625,29,35.438035,-119.016787,Knots,4.7125,California,Kern,Oildale
232.2021-08-01,Micrograms/cubic meter (25 C),29,27,Degrees Fahrenheit,90.504167,29,35.438035,-119.016787,Knots,4.175,California,Kern,Oildale
232.2021-08-02,Micrograms/cubic meter (25 C),54,50,Degrees Fahrenheit,87.141667,29,35.438035,-119.016787,Knots,3.65,California,Kern,Oildale
232.2021-08-03,Micrograms/cubic meter (25 C),70,58,Degrees Fahrenheit,87.966667,29,35.438035,-119.016787,Knots,2.133333,California,Kern,Oildale
232.2021-08-04,Micrograms/cubic meter (25 C),76,61,Degrees Fahrenheit,90.9125,29,35.438035,-119.016787,Knots,2.766667,California,Kern,Oildale
232.2021-08-05,Micrograms/cubic meter (25 C),64,55,Degrees Fahrenheit,86.6125,29,35.438035,-119.016787,Knots,3.133333,California,Kern,Oildale
232.2021-08-06,Micrograms/cubic meter (25 C),56,51,Degrees Fahrenheit,84.05,29,35.438035,-119.016787,Knots,2.570833,California,Kern,Oildale
232.2021-08-07,Micrograms/cubic meter (25 C),73,60,Degrees Fahrenheit,87.933333,29,35.438035,-119.016787,Knots,2.695833,California,Kern,Oildale
232.2021-08-08,Micrograms/cubic meter (25 C),79,63,Degrees Fahrenheit,88.220833,29,35.438035,-119.016787,Knots,2.8875,California,Kern,Oildale
232.2021-08-09,Micrograms/cubic meter (25 C),48,44,Degrees Fahrenheit,88.208333,29,35.438035,-119.016787,Knots,3,California,Kern,Oildale
232.2021-08-10,Micrograms/cubic meter (25 C),64,55,Degrees Fahrenheit,89.8125,29,35.438035,-119.016787,Knots,2.766667,California,Kern,Oildale
232.2021-08-11,Micrograms/cubic meter (25 C),64,55,Degrees Fahrenheit,91.325,29,35.438035,-119.016787,Knots,2.25,California,Kern,Oildale
232.2021-08-12,Micrograms/cubic meter (25 C),56,51,Degrees Fahrenheit,92.670833,29,35.438035,-119.016787,Knots,2.970833,California,Kern,Oildale
232.2021-08-13,Micrograms/cubic meter (25 C),68,57,Degrees Fahrenheit,91.254167,29,35.438035,-119.016787,Knots,3.170833,California,Kern,Oildale
232.2021-08-14,Micrograms/cubic meter (25 C),60,53,Degrees Fahrenheit,91.4125,29,35.438035,-119.016787,Knots,2.216667,California,Kern,Oildale
232.2021-08-15,Micrograms/cubic meter (25 C),64,55,Degrees Fahrenheit,92.554167,29,35.438035,-119.016787,Knots,2.125,California,Kern,Oildale
232.2021-08-16,Micrograms/cubic meter (25 C),85,66,Degrees Fahrenheit,93.841667,29,35.438035,-119.016787,Knots,2.729167,California,Kern,Oildale
232.2021-08-17,Micrograms/cubic meter (25 C),70,58,Degrees Fahrenheit,89.545833,29,35.438035,-119.016787,Knots,3.770833,California,Kern,Oildale
232.2021-08-18,Micrograms/cubic meter (25 C),66,56,Degrees Fahrenheit,79.020833,29,35.438035,-119.016787,Knots,5.4,California,Kern,Oildale
232.2021-08-19,Micrograms/cubic meter (25 C),117,82,Degrees Fahrenheit,76.979167,29,35.438035,-119.016787,Knots,2.729167,California,Kern,Oildale
232.2021-08-20,Micrograms/cubic meter (25 C),134,90,Degrees Fahrenheit,80.108333,29,35.438035,-119.016787,Knots,2.545833,California,Kern,Oildale
232.2021-08-21,Micrograms/cubic meter (25 C),84,65,Degrees Fahrenheit,78.5,29,35.438035,-119.016787,Knots,3.3375,California,Kern,Oildale
232.2021-08-22,Micrograms/cubic meter (25 C),45,42,Degrees Fahrenheit,77.408333,29,35.438035,-119.016787,Knots,2.570833,California,Kern,Oildale
232.2021-08-23,Micrograms/cubic meter (25 C),66,56,Degrees Fahrenheit,80.016667,29,35.438035,-119.016787,Knots,2.683333,California,Kern,Oildale
232.2021-08-24,Micrograms/cubic meter (25 C),83,65,Degrees Fahrenheit,81.083333,29,35.438035,-119.016787,Knots,2.733333,California,Kern,Oildale
232.2021-08-25,Micrograms/cubic meter (25 C),89,68,Degrees Fahrenheit,82.095833,29,35.438035,-119.016787,Knots,2.6,California,Kern,Oildale
232.2021-08-26,Micrograms/cubic meter (25 C),96,71,Degrees Fahrenheit,82.1375,29,35.438035,-119.016787,Knots,2.729167,California,Kern,Oildale
232.2021-08-27,Micrograms/cubic meter (25 C),84,65,Degrees Fahrenheit,84.9,29,35.438035,-119.016787,Knots,2.5375,California,Kern,Oildale
232.2021-08-28,Micrograms/cubic meter (25 C),102,74,Degrees Fahrenheit,88.779167,29,35.438035,-119.016787,Knots,2.4375,California,Kern,Oildale
232.2021-08-29,Micrograms/cubic meter (25 C),86,66,Degrees Fahrenheit,90.575,29,35.438035,-119.016787,Knots,2.054167,California,Kern,Oildale
